T(ms),Estimated value,Actual value
1.00E+03,6.79E-02,7.39E-02
2.00E+03,4.85E-02,3.82E-02
3.00E+03,3.39E-02,2.63E-02
4.00E+03,2.38E-02,2.03E-02
5.00E+03,1.72E-02,1.68E-02
6.00E+03,1.33E-02,1.44E-02
7.00E+03,1.11E-02,1.27E-02
8.00E+03,9.97E-03,1.14E-02
9.00E+03,9.36E-03,1.04E-02
1.00E+04,8.97E-03,9.63E-03
1.10E+04,8.69E-03,8.98E-03
1.20E+04,8.44E-03,8.44E-03
1.30E+04,8.15E-03,7.98E-03
1.40E+04,7.78E-03,7.59E-03
1.50E+04,7.36E-03,7.25E-03
1.60E+04,7.00E-03,6.95E-03
1.70E+04,6.74E-03,6.69E-03
1.80E+04,6.56E-03,6.45E-03
1.90E+04,6.40E-03,6.24E-03
2.00E+04,6.24E-03,6.06E-03
2.10E+04,6.10E-03,5.89E-03
2.20E+04,6.01E-03,5.73E-03
2.30E+04,5.92E-03,5.59E-03
2.40E+04,5.80E-03,5.46E-03
2.50E+04,5.66E-03,5.34E-03
2.60E+04,5.54E-03,5.23E-03
2.70E+04,5.46E-03,5.13E-03
2.80E+04,5.40E-03,5.04E-03
2.90E+04,5.32E-03,4.95E-03
3.00E+04,5.23E-03,4.87E-03
3.10E+04,5.14E-03,4.79E-03
3.20E+04,5.09E-03,4.72E-03
3.30E+04,5.05E-03,4.65E-03
3.40E+04,4.99E-03,4.59E-03
3.50E+04,4.91E-03,4.53E-03
3.60E+04,4.85E-03,4.47E-03
3.70E+04,4.82E-03,4.42E-03
3.80E+04,4.80E-03,4.36E-03
3.90E+04,4.76E-03,4.32E-03
4.00E+04,4.69E-03,4.27E-03
4.10E+04,4.62E-03,4.23E-03
4.20E+04,4.57E-03,4.19E-03
4.30E+04,4.53E-03,4.15E-03
4.40E+04,4.49E-03,4.11E-03
4.50E+04,4.45E-03,4.07E-03
4.60E+04,4.44E-03,4.04E-03
4.70E+04,4.48E-03,4.00E-03
4.80E+04,4.53E-03,3.97E-03
4.90E+04,4.52E-03,3.94E-03
5.00E+04,4.45E-03,3.91E-03
5.10E+04,4.31E-03,3.89E-03
5.20E+04,4.15E-03,3.86E-03
5.30E+04,4.00E-03,3.83E-03
5.40E+04,3.90E-03,3.81E-03
