Ps,Estimated value,Actual value
1.00E-01,4.91E-01,4.91E-01
1.10E-01,4.90E-01,4.90E-01
1.20E-01,4.88E-01,4.88E-01
1.30E-01,4.87E-01,4.86E-01
1.40E-01,4.85E-01,4.84E-01
1.50E-01,4.83E-01,4.81E-01
1.60E-01,4.81E-01,4.78E-01
1.70E-01,4.78E-01,4.75E-01
1.80E-01,4.75E-01,4.72E-01
1.90E-01,4.72E-01,4.68E-01
2.00E-01,4.68E-01,4.64E-01
2.10E-01,4.63E-01,4.60E-01
2.20E-01,4.59E-01,4.55E-01
2.30E-01,4.53E-01,4.51E-01
2.40E-01,4.48E-01,4.45E-01
2.50E-01,4.41E-01,4.39E-01
2.60E-01,4.35E-01,4.33E-01
2.70E-01,4.27E-01,4.26E-01
2.80E-01,4.20E-01,4.19E-01
2.90E-01,4.12E-01,4.11E-01
3.00E-01,4.03E-01,4.03E-01
3.10E-01,3.94E-01,3.95E-01
3.20E-01,3.85E-01,3.85E-01
3.30E-01,3.75E-01,3.76E-01
3.40E-01,3.65E-01,3.65E-01
3.50E-01,3.54E-01,3.55E-01
3.60E-01,3.43E-01,3.43E-01
3.70E-01,3.32E-01,3.32E-01
3.80E-01,3.20E-01,3.20E-01
3.90E-01,3.07E-01,3.07E-01
4.00E-01,2.95E-01,2.94E-01
4.10E-01,2.82E-01,2.81E-01
4.20E-01,2.69E-01,2.68E-01
4.30E-01,2.55E-01,2.55E-01
4.40E-01,2.42E-01,2.41E-01
4.50E-01,2.28E-01,2.27E-01
4.60E-01,2.15E-01,2.14E-01
4.70E-01,2.01E-01,2.00E-01
4.80E-01,1.88E-01,1.87E-01
4.90E-01,1.75E-01,1.74E-01
5.00E-01,1.62E-01,1.62E-01
5.10E-01,1.50E-01,1.50E-01
5.20E-01,1.38E-01,1.38E-01
5.30E-01,1.26E-01,1.27E-01
5.40E-01,1.15E-01,1.16E-01
5.50E-01,1.05E-01,1.06E-01
5.60E-01,9.54E-02,9.63E-02
5.70E-01,8.63E-02,8.74E-02
5.80E-01,7.79E-02,7.90E-02
5.90E-01,7.02E-02,7.13E-02
6.00E-01,6.31E-02,6.41E-02
6.10E-01,5.66E-02,5.76E-02
6.20E-01,5.06E-02,5.15E-02
6.30E-01,4.53E-02,4.60E-02
6.40E-01,4.05E-02,4.10E-02
6.50E-01,3.61E-02,3.65E-02
6.60E-01,3.22E-02,3.25E-02
6.70E-01,2.87E-02,2.88E-02
6.80E-01,2.56E-02,2.56E-02
6.90E-01,2.28E-02,2.27E-02
7.00E-01,2.03E-02,2.02E-02
7.10E-01,1.80E-02,1.79E-02
7.20E-01,1.60E-02,1.59E-02
7.30E-01,1.43E-02,1.42E-02
7.40E-01,1.28E-02,1.27E-02
7.50E-01,1.14E-02,1.14E-02
7.60E-01,1.03E-02,1.03E-02
7.70E-01,9.32E-03,9.33E-03
7.80E-01,8.49E-03,8.51E-03
7.90E-01,7.79E-03,7.82E-03
8.00E-01,7.21E-03,7.25E-03
8.10E-01,6.73E-03,6.76E-03
8.20E-01,6.34E-03,6.36E-03
8.30E-01,6.02E-03,6.04E-03
8.40E-01,5.77E-03,5.77E-03
8.50E-01,5.57E-03,5.56E-03
8.60E-01,5.41E-03,5.39E-03
8.70E-01,5.29E-03,5.26E-03
8.80E-01,5.19E-03,5.16E-03
8.90E-01,5.12E-03,5.09E-03
9.00E-01,5.07E-03,5.04E-03
9.10E-01,5.03E-03,5.00E-03
9.20E-01,5.00E-03,4.97E-03
9.30E-01,5.00E-03,4.95E-03
9.40E-01,5.01E-03,4.94E-03
9.50E-01,5.05E-03,4.94E-03
9.60E-01,5.11E-03,4.94E-03
9.70E-01,5.21E-03,4.94E-03
9.80E-01,5.35E-03,4.94E-03
9.90E-01,5.53E-03,4.93E-03
